City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
400,Pacifica,US,56.68,clear sky,37.6138,-122.4869,"Pacifica Lighthouse, Trademark Collection by Wyndham"
401,Basco,PH,75.0,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
412,Kindu,CD,71.13,overcast clouds,-2.95,25.95,Résidence Okanda
431,San Ignacio,BZ,64.54,broken clouds,17.1561,-89.0714,Rainforest Haven Inn
436,Peniche,PT,55.92,broken clouds,39.3558,-9.3811,Hotel Star inn Peniche
440,Pacific Grove,US,56.3,clear sky,36.6177,-121.9166,Lovers Point Inn
443,Tarija,BO,60.31,overcast clouds,-21.5355,-64.7296,Hostal Granny
444,Ixtapa,MX,74.43,clear sky,20.7,-105.2,Hotel Plaza Providencia
448,Mandiana,GN,73.17,overcast clouds,10.6333,-8.6833,Motels rouzo
449,Nioro,GM,72.54,broken clouds,13.35,-15.75,
450,Kaeo,NZ,74.32,overcast clouds,-35.1,173.7833,Bushido Lodge
453,Kassala,SD,63.3,clear sky,15.451,36.4,Amassi Hotel Gash
456,Sao Felix Do Xingu,BR,70.47,light rain,-6.6447,-51.995,Rio Xingu Camping
458,Dakar,SN,69.93,clear sky,14.6937,-17.4441,Redface Studios Meublés
459,Pandamatenga,BW,65.73,light rain,-18.5278,25.627,Wildtrack Safaris Eco Lodge
460,San Luis,AR,72.59,clear sky,-33.295,-66.3356,Huarpes Hotel
463,Tanout,NE,55.51,clear sky,14.9709,8.8879,
467,Kamalpur,IN,57.0,clear sky,24.2,91.8333,Sagar Guest House. সাগর গেস্ট হাউস
472,Mto Wa Mbu,TZ,68.32,light rain,-3.35,35.85,Fanaka Safaris Campsite & Lodges
473,Constitucion,CL,58.41,broken clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
474,Luwingu,ZM,60.58,overcast clouds,-10.2621,29.9271,"MR.C SIMON CHABALA (Maje, Home Place)"
477,Cidreira,BR,70.9,few clouds,-30.1811,-50.2056,Hotel Castelo
478,Sakaraha,MG,68.88,clear sky,-22.9,44.5333,Le Relais
482,Tura,IN,61.34,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
484,Malakal,SS,69.31,few clouds,9.5334,31.6605,Nile Palace Hotel
486,Rabo De Peixe,PT,56.71,scattered clouds,37.8,-25.5833,Quinta das Giestas
488,Ankazoabo,MG,69.46,clear sky,-22.2833,44.5167,ENCEIN BUREAU CISCO
489,Lashio,MM,60.49,clear sky,22.9333,97.75,Hotel CF Lashio - Burmese Only
491,Rafaela,AR,72.0,clear sky,-31.2503,-61.4867,Parra Hotel & Suites
494,Inirida,CO,74.73,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
496,Wad Rawah,SD,61.47,clear sky,15.1603,33.1397,ود الترابي
500,Atar,MR,71.74,overcast clouds,20.5169,-13.0499,Oumou Elghoura
504,Vila Franca Do Campo,PT,57.61,broken clouds,37.7167,-25.4333,Pestana Bahia Praia
505,Lichinga,MZ,60.89,fog,-13.3128,35.2406,Residencial Bendiak
511,Sillod,IN,56.8,clear sky,20.3,75.65,पवन
512,Mponela,MW,61.74,moderate rain,-13.5319,33.7401,Ram's Executive Lodge
513,Comodoro Rivadavia,AR,66.06,clear sky,-45.8667,-67.5,Austral Hotel
516,Azare,NG,57.42,overcast clouds,11.6765,10.1948,Mallam Ayuba Compound
530,Santa Isabel,BR,69.1,overcast clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
535,Qeshm,IR,58.89,clear sky,26.9581,56.2719,Qeshm Kavan Hotel
537,Mpwapwa,TZ,64.06,overcast clouds,-6.35,36.4833,THE ROYAL LODGE
538,Barra Do Corda,BR,69.22,broken clouds,-5.5,-45.25,Belchior Palace Hotel
539,Magaria,NE,56.86,broken clouds,12.9983,8.9099,Chez Honorable Chapiou
540,Labrea,BR,71.11,overcast clouds,-7.2586,-64.7981,Hotel Novo Horizonte
545,Isla Mujeres,MX,60.85,overcast clouds,21.2311,-86.731,Hotel La Joya Isla Mujeres
547,Arlit,NE,59.18,clear sky,18.7369,7.3853,Case de Passage De la Prefecture
548,Agadir,MA,68.45,clear sky,30.4202,-9.5982,Iberostar Founty Beach
551,Lokoja,NG,70.45,scattered clouds,7.8024,6.743,Hotel Charvid
552,Araouane,ML,69.04,broken clouds,18.9048,-3.5265,
