City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Description
114,Matagami,49.7502,-77.6328,-9.29,84,0,2.3,CA,2022-01-30 03:08:29,clear sky
115,Nikolskoye,59.7035,30.7861,27.72,93,100,15.68,RU,2022-01-30 03:08:30,snow
116,Acapulco,16.8634,-99.8901,78.12,76,0,7.4,MX,2022-01-30 03:00:27,clear sky
117,Alenquer,-1.9417,-54.7383,72.48,96,100,4.59,BR,2022-01-30 03:02:26,light rain
118,Vavuniya,8.7514,80.4971,79.21,78,21,3.69,LK,2022-01-30 03:08:31,few clouds
119,Sindor,62.8629,51.8905,12.79,95,100,6.55,RU,2022-01-30 03:08:31,overcast clouds
120,Arraial Do Cabo,-22.9661,-42.0278,74.17,95,100,11.52,BR,2022-01-30 03:08:32,overcast clouds
121,Salalah,17.0151,54.0924,67.68,59,88,2.55,OM,2022-01-30 03:02:22,overcast clouds
122,Paciran,-6.8767,112.3761,84.43,71,98,4.72,ID,2022-01-30 03:08:32,overcast clouds
123,Mezen,65.8522,44.24,11.32,94,100,10.16,RU,2022-01-30 03:08:33,overcast clouds
124,San Patricio,28.017,-97.5169,57.04,51,11,8.55,US,2022-01-30 03:08:33,few clouds
125,Asau,46.4333,26.4,34.75,70,100,11.77,RO,2022-01-30 03:08:34,light snow
126,Omboue,-1.5746,9.2618,77.68,90,100,5.3,GA,2022-01-30 03:08:34,overcast clouds
127,Dingle,10.9995,122.6711,85.87,66,6,2.04,PH,2022-01-30 03:05:41,clear sky
128,Luwuk,-0.9516,122.7875,86.81,63,100,3.11,ID,2022-01-30 03:08:35,overcast clouds
129,Beloha,-25.1667,45.05,71.1,90,65,8.95,MG,2022-01-30 03:08:35,broken clouds
130,Longyearbyen,78.2186,15.6401,6.64,72,0,12.66,SJ,2022-01-30 03:08:36,clear sky
131,Bodden Town,19.2833,-81.25,75.2,65,40,10.0,KY,2022-01-30 03:08:37,scattered clouds
132,Biak,-0.9131,122.8766,83.28,66,100,2.19,ID,2022-01-30 03:08:37,overcast clouds
133,Port Keats,-14.25,129.55,83.93,79,99,18.03,AU,2022-01-30 03:08:37,overcast clouds
134,Alice Springs,-23.7,133.8833,81.95,74,75,18.41,AU,2022-01-30 03:08:38,broken clouds
135,Coquimbo,-29.9533,-71.3436,62.33,82,0,2.3,CL,2022-01-30 03:08:39,clear sky
136,Vardo,70.3705,31.1107,23.0,77,87,3.13,NO,2022-01-30 03:08:39,overcast clouds
137,Hithadhoo,-0.6,73.0833,80.94,68,51,3.13,MV,2022-01-30 03:08:40,broken clouds
138,Stepnogorsk,52.3544,71.8869,4.39,97,44,7.7,KZ,2022-01-30 03:08:40,scattered clouds
139,Sobolevo,54.4299,31.8996,23.72,95,100,19.8,RU,2022-01-30 03:09:41,snow
140,Buala,-8.145,159.5921,86.13,69,99,7.81,SB,2022-01-30 03:01:05,light rain
141,Sabha,27.0377,14.4283,42.98,26,0,8.34,LY,2022-01-30 03:09:41,clear sky
142,Mar Del Plata,-38.0023,-57.5575,70.88,80,34,20.0,AR,2022-01-30 03:05:01,scattered clouds
143,Sokoni,-6.4333,39.55,79.61,76,100,9.48,TZ,2022-01-30 03:09:42,overcast clouds
144,Walvis Bay,-22.9575,14.5053,62.1,86,46,4.12,NA,2022-01-30 03:02:18,scattered clouds
145,Fairbanks,64.8378,-147.7164,-11.24,70,0,0.0,US,2022-01-30 03:05:46,clear sky
146,Jingdezhen,29.2947,117.2079,39.76,82,99,2.48,CN,2022-01-30 03:09:44,overcast clouds
147,Toamasina,-18.1667,49.3833,74.48,88,15,6.11,MG,2022-01-30 03:09:44,few clouds
148,Atuona,-9.8,-139.0333,77.99,77,27,14.09,PF,2022-01-30 03:09:45,light rain
149,Fort Nelson,58.8053,-122.7002,4.59,78,100,8.05,CA,2022-01-30 03:09:46,light snow
150,Busselton,-33.65,115.3333,84.09,49,5,12.73,AU,2022-01-30 03:09:46,clear sky
151,Zaraza,9.3503,-65.3245,74.93,77,8,10.63,VE,2022-01-30 03:09:47,clear sky
152,Castro,-24.7911,-50.0119,60.03,99,99,5.57,BR,2022-01-30 03:09:47,overcast clouds
153,Ancud,-41.8697,-73.8203,54.93,88,100,8.81,CL,2022-01-30 03:09:48,light rain
154,Omsukchan,62.5333,155.8,-1.28,97,100,7.11,RU,2022-01-30 03:09:50,overcast clouds
